Respondent ID,Collector ID,Start Date,End Date,IP Address,Latitude,Longitude,What is your relationship to the Township?,,,,,In what section of the township do you live?,How many years have you lived in the Township?,,,,,,What are the ages of those living in your house? Check all that apply.,,,,,,,Where do members of your household work? Check all that apply.,,,,,,,,,,,,,What are the top two reasons you live in the Township?,,,,,,,,,Do you rent or own your home? ,Is farming your family's primary source of income?,"If you are a farmer, how many acres do you own?",How many acres do you own?,How likely are you to sell your property in the next 12 months,The Township needs more of which type(s) of housing units? Check all that apply.,,,,,,,Would You Consider Yourself: ,Which type(s) of commercial development would you like to see in the Township? Check all that apply.,,,,,,,,Which type(s) of job-creating employment opportunities would you like to see in the Township? Check all that apply. ,,,,,,,What are methods of encouraging businesses/industry you would support?,,,,,,,Would you like to see more public parkland in the Township?,How important is it to use land use planning and zoning in the following manner:,,,,,Do you feel the following services are needed or should be improved? Check all that apply.,,,,,,,,Items for which you would support an additional tax. Check all that apply. ,,,,,,,,,,Which type of tax would you support for such services? ,,"In your opinion, is it important to work with adjacent communities to coordinate growth?",Do you think a bike path system should be strategically created for recreation and possibly commuting purposes in the Township?,,Please feel free to comment on issues affecting the Township that are not addressed in this survey.
118212122667,448603621,2023-01-03 19:33:44,2023-01-03 19:47:52,75.188.226.41,39.9622601,-83.0007065,I live in Etna Township,,,,,4 (NE),,,,20 - 39 Years,,,,,,,,45 - 65 Years Old,,,,,,,,Columbus,,,,Elsewhere in Franklin County,,,,,,,,,Rural Atmosphere,,Lack of commercial development 20 years ago no,Own,No - we have other occupations.,0 - 5 Acres,< 2 Acres,100,,Farm House/Large Lot,Single Family,,,,,Anti Growth,,,Rural Home Occupations,Neighborhood Commercial,Agri-Business,,,,,,,,,Maintain Current Farming and Agricultural Base,,None of the above,,,,,,,Yes,Very,Very,Very,Very,Very,,Broadband Internet,Central Water,Central Sewer,Recycling,Adopt-A-Highway,,,,Recycling,Fire Station Facility,Improve Emergency Services,Improve Schools,Provide Social Services For All Ages,Improve Police Protection,Central Water and Sewer Facilities,Improve/Provide Parks and Recreation Facilities,,Bond Issue for Facilities,,Very important,Yes,,
118212116625,448603621,2023-01-03 19:14:25,2023-01-03 19:42:01,75.188.226.41,39.9622601,-83.0007065,I live in Etna Township,,,,,4 (NE),,,,20 - 39 Years,,,,,,,,45 - 65 Years Old,,,,,,,,Columbus,,,,,,,,,,,,Lack of Congestion,Rural Atmosphere,,,Own,No - we have other occupations.,,< 2 Acres,55,None of the above,,,,,,,Anti Growth,,,,,,,,,None of the above,,,,,,,,,,,Business Centers,,,Yes,Very,Very,Very,Very,Very,,Broadband Internet,,,Recycling,,,,,Recycling,,,,,,,,,Bond Issue for Facilities,,Somewhat important,Yes,,
118212118521,448603621,2023-01-03 19:06:38,2023-01-03 19:35:53,71.79.238.15,39.9955726,-82.6742373,I live in Etna Township,,,,,5 (SE),,,10 - 19 Years,,,,,,,,,45 - 65 Years Old,,,,,Granville,,,,,,,,,,,,,,,,Rural Atmosphere,,low density housing,Own,No - we have other occupations.,,< 2 Acres,100,None of the above,,,,,,,Strongly Anti Growth,,,,,,,,no more commercial,,,,,,Maintain Current Farming and Agricultural Base,,None of the above,,,,,,,Yes,Not,Very,Somewhat,Very,Very,,,,Central Sewer,,,,,,Recycling,,,,,,Central Water and Sewer Facilities,Improve/Provide Parks and Recreation Facilities,garbage collection,Property Tax Levy,,Somewhat important,No,,No more warehouses.  We have enough. 
118212108174,448603621,2023-01-03 18:57:01,2023-01-03 19:13:33,75.188.80.37,39.9622601,-83.0007065,I live in Etna Township,,,,,5 (SE),,,,,Over 40 Years,,,,,,,,66+ Years Old,,,,,,,,,,,,Retired,,Quiet for Retirement,,,,,,Rural Atmosphere,,,Own,No - we have other occupations.,,< 2 Acres,100,,Farm House/Large Lot,Single Family,Townhome/Condo,,Senior/Assisted Living,,Pro Limited Growth,,,,,,,,,,,,Office/Service,Recreation/Resort Activity,Maintain Current Farming and Agricultural Base,,,,,,,,,Yes,Very,Very,Somewhat,Very,Very,,Broadband Internet,Central Water,Central Sewer,Recycling,Adopt-A-Highway,Natural Gas,,,,Fire Station Facility,,,,Improve Police Protection,,Improve/Provide Parks and Recreation Facilities,,Income (in association with Joint Economic Development District),,Very important,Yes,,Build a sound barrier wall along Rt 40.  It is hard to sleep with all the vehicle noise behind our houses.  Sometimes the exhaust fumes are so unbearable we have to go inside.  We can't open our windows because of noise and exhaust fumes.
118212108374,448603621,2023-01-03 18:55:57,2023-01-03 19:11:00,75.188.80.37,39.9622601,-83.0007065,I live in Etna Township,,,,,5 (SE),,,,,Over 40 Years,,,,,,,,66+ Years Old,,,,,,,,,,,,Retired,,Quiet for Retirement,,,,,,Rural Atmosphere,,,Own,No - we have other occupations.,0 - 5 Acres,< 2 Acres,93,,Farm House/Large Lot,,,,Senior/Assisted Living,,No Opinion,,,,,,,,Restaurant ,,Light Manufacturing,,,,,,None of the above,,,,,,,Yes,Very,Very,Somewhat,Somewhat,Very,,Broadband Internet,Central Water,Central Sewer,Recycling,,,,,,Fire Station Facility,Improve Emergency Services,,,Improve Police Protection,,Improve/Provide Parks and Recreation Facilities,,Bond Issue for Facilities,,Very important,Yes,,Like to see more sit down restaurant 
118212107215,448603621,2023-01-03 18:57:38,2023-01-03 19:10:20,75.188.90.26,39.9622601,-83.0007065,I live in Etna Township,,,,,3 (SW),,5 - 9 Years,,,,,,,,,,45 - 65 Years Old,,,,,,,,,,,,Elsewhere in Franklin County,,,,,,,,,Rural Atmosphere,,quiet naborhood,Own,No - we have other occupations.,,< 2 Acres,99,,Farm House/Large Lot,Single Family,,,,,Anti Growth,,,,,,,,restaurants,,,,,,Maintain Current Farming and Agricultural Base,,None of the above,,,,,,,Yes,Very,Very,Very,Very,Very,,,Central Water,Central Sewer,,,,,,,Fire Station Facility,Improve Emergency Services,,,Improve Police Protection,Central Water and Sewer Facilities,Improve/Provide Parks and Recreation Facilities,,Property Tax Levy,,Not important,No,,
118211985453,448603621,2023-01-03 15:03:54,2023-01-03 15:24:48,174.96.175.112,39.9622601,-83.0007065,I live in Etna Township,,,,,3 (SW),,,,20 - 39 Years,,,,,,,,45 - 65 Years Old,66+ Years Old,,,,,,,,,,,,Retired,,Quiet for Retirement,,Friendliness,,,Lack of Congestion,Rural Atmosphere,,,Own,No - we have other occupations.,,< 2 Acres,100,,Farm House/Large Lot,Single Family,,,Senior/Assisted Living,,Anti Growth,,,Rural Home Occupations,,Agri-Business,,,,,,,,Recreation/Resort Activity,Maintain Current Farming and Agricultural Base,,None of the above,,,,,,,Yes,Very,Very,Very,Very,Very,,Broadband Internet,,,,,,,,,,,,,,,Improve/Provide Parks and Recreation Facilities,,None of the above,,Don't Know,Yes,,Mink Rd at Palmer rd needs immediate attention as many crashes have happened at that intersection and there’s usually ambulances and cars in a field involved
118211977708,448603621,2023-01-03 15:07:08,2023-01-03 15:11:16,75.186.28.81,39.9622601,-83.0007065,I live in Etna Township,,,,,3 (SW),,5 - 9 Years,,,,,,,,,26 - 44 Years Old,,,Etna Township,,,,,,Columbus,,,,,,,,,,,,Lack of Congestion,Rural Atmosphere,,,Own,No - we have other occupations.,,< 2 Acres,33,,Farm House/Large Lot,Single Family,,,,,Pro Limited Growth,,,Rural Home Occupations,Neighborhood Commercial,,,,,,,,Office/Service,,Maintain Current Farming and Agricultural Base,Retail/food,None of the above,,,,,,,Yes,Very,Very,Very,Not,Very,,Broadband Internet,,,Recycling,,,,,,Fire Station Facility,Improve Emergency Services,Improve Schools,Provide Social Services For All Ages,,,Improve/Provide Parks and Recreation Facilities,,Bond Issue for Facilities,,Very important,Yes,,"For the love of god, stop with the warehouses and giant businesses!"
118211897587,448603621,2023-01-03 13:07:33,2023-01-03 13:14:24,75.188.88.156,39.9622601,-83.0007065,,,,,,3 (SW),,,,,Over 40 Years,,,,,,,,66+ Years Old,,,,,,,,,,,,Retired,,Quiet for Retirement,,,,,,Rural Atmosphere,,,Own,No - we have other occupations.,,< 2 Acres,99,,Farm House/Large Lot,Single Family,,,,,Pro Limited Growth,,,,Neighborhood Commercial,Agri-Business,,,,,,,Office/Service,,Maintain Current Farming and Agricultural Base,,,Tax Reductions,,Job Training,Business Centers,,,Yes,Very,Very,Very,Somewhat,Very,,Broadband Internet,,,Recycling,,,,,Recycling,Fire Station Facility,Improve Emergency Services,Improve Schools,Provide Social Services For All Ages,Improve Police Protection,,Improve/Provide Parks and Recreation Facilities,,Local License Tax for Roads,,Very important,Yes,,
118211896738,448603621,2023-01-03 13:00:29,2023-01-03 13:12:48,75.188.90.130,39.9622601,-83.0007065,I live in Etna Township,,,,,3 (SW),,,10 - 19 Years,,,,,,,,,,66+ Years Old,,,,,,,,,,,,Retired,,,,,,,Lack of Congestion,Rural Atmosphere,,,Own,No - we have other occupations.,,< 2 Acres,100,,Farm House/Large Lot,,,,,Gated Communities,Anti Growth,,,,,Agri-Business,,,,,,,,,Maintain Current Farming and Agricultural Base,,None of the above,,,,,,,Yes,Very,Very,Very,Very,Very,,,,Central Sewer,,,,,,,,,,,Improve Police Protection,,Improve/Provide Parks and Recreation Facilities,,Bond Issue for Facilities,,Somewhat important,Yes,,We need no more warehouse industries in Etna township!  It has changed the landscape and atmosphere on a rural community that we loved.
118211843105,448603621,2023-01-03 11:47:35,2023-01-03 12:00:08,172.56.64.206,33.7489924,-84.3902644,I live in Etna Township,,,,,1 (Reynoldsburg),,,10 - 19 Years,,,,,,13 - 18 Years Old,19 - 25 Years Old,,45 - 65 Years Old,,,,,,,,Columbus,,,,,,,,,,Cleanliness,School System,,,,,Own,No - we have other occupations.,,< 2 Acres,,,,Single Family,,,,,Strongly Anti Growth,,,,,,,,None,,,,,,,,None of the above,,,,,,,Yes,Very,Not,Not,Not,Very,,,,,,,,,,,Fire Station Facility,,Improve Schools,,Improve Police Protection,,,,None of the above,,Somewhat important,Yes,,
118211822371,448603621,2023-01-03 11:20:39,2023-01-03 11:28:11,71.79.225.128,39.9955726,-82.6742373,I live in Etna Township,,,,,4 (NE),,,10 - 19 Years,,,,0 - 5 Years Old,6 - 12 Years Old,,,26 - 44 Years Old,45 - 65 Years Old,,,,,,,,Columbus,,,,,,,,,,,,Lack of Congestion,,,,Own,No - we have other occupations.,,,100,None of the above,,,,,,,Anti Growth,,,,,,,,Stop putting in light manufacturing and quite a mistake to have 18 wheel vehicles viewable in Main Street just west of 310 on north side,,,,Office/Service,,Maintain Current Farming and Agricultural Base,,None of the above,,,,,,,Yes,Very,Very,Very,Very,Very,,,,,,,,The removal of bus routes in Brandy Mill estates for middle school students was a horrible decision and the township should be required to have sidewalks for these students!,None of the above,,,,,,,,,,Other (please specify),"Licking county 2nd highest property tax in Ohio, do not raise taxes anymore!",Not important,Maybe (please specify),Sidewalks first!,Limit multi- housing families if it requires township to take away bus routes and causes increased taxes. No more tax abatements if simple safety issues for school age children are reduced or eliminated 
118211761993,448603621,2023-01-03 09:41:30,2023-01-03 10:00:47,76.181.246.18,39.9622601,-83.0007065,I live in Etna Township,,,,,3 (SW),,,,20 - 39 Years,,,,,,,,45 - 65 Years Old,66+ Years Old,,,,,,,,,,,,Retired,,,,,,,,Rural Atmosphere,,Safety,Own,No - we have other occupations.,,< 2 Acres,100,None of the above,,,,,,,Anti Growth,,Strip Shopping Areas,,,Agri-Business,,,Restaurants ,,,,,,Maintain Current Farming and Agricultural Base,,None of the above,,,,,,,Yes,Very,Very,Very,Very,Very,,Broadband Internet,,,,,,,,,,,Improve Schools,,Improve Police Protection,,Improve/Provide Parks and Recreation Facilities,,Income (in association with Joint Economic Development District),,Very important,Yes,,Would like the Etna Township trustees be more professional and find a way to work together.  They are an embarrassment.  Also not sure why we need a Sheetz gas station/truck stop at the SR40 and 310 intersection.  It’s already a busy intersection and don’t need to increase truck traffic in this area.  Not to mention there are already 5 gas stations at 310 and I70.  Would like to see more restaurants but against rapid growth that would overwhelm the SWL schools.  We are retired and property taxes keep going up. 
118211703583,448603621,2023-01-03 08:17:52,2023-01-03 08:25:30,75.188.199.7,39.9622601,-83.0007065,I live in Etna Township,,,,,1 (Reynoldsburg),,,,20 - 39 Years,,,,,,,,45 - 65 Years Old,,,Reynoldsburg,,,,,,,,,,Retired,,,,,,,,,,Bought here for schools and neighborhood for my children,Own,No - we have other occupations.,,< 2 Acres,50,,Farm House/Large Lot,Single Family,,,,,Pro Limited Growth,,,,Neighborhood Commercial,,,,,,,,Office/Service,,Maintain Current Farming and Agricultural Base,,,,,Job Training,Business Centers,,,Yes,Somewhat,Somewhat,Somewhat,Somewhat,Very,None of the above,,,,,,,,None of the above,,,,,,,,,,None of the above,,Very important,Maybe (please specify),In certain areas,
118211573020,448603621,2023-01-03 02:07:24,2023-01-03 02:31:11,75.118.147.213,39.9667308,-82.8854559,I live in Etna Township,,,,,1 (Reynoldsburg),,,,20 - 39 Years,,,,,,,,45 - 65 Years Old,,Etna Township,,,,,,,,,,,,,,,,Cleanliness,,,,,"Hope it has a good ""growth"" plan (forward thinking vs. short sighted)",Own,No - we have other occupations.,,< 2 Acres,100,,Farm House/Large Lot,Single Family,,,,,Pro Growth,Large Shopping Mall (Easton/Polaris),,,Neighborhood Commercial,,,,Restaurants,,,,Office/Service,,Maintain Current Farming and Agricultural Base,Restaurants,,Tax Reductions,,,,,Wanting to become part of the community,Yes,Somewhat,Somewhat,Somewhat,Somewhat,Somewhat,,,,,,,,More Restaurants/Entertainment,,,Fire Station Facility,Improve Emergency Services,Improve Schools,,Improve Police Protection,,Improve/Provide Parks and Recreation Facilities,,Property Tax Levy,,Very important,Yes,,"Make Etna Township a place where people will want to live (strong schools, good restaurants, convenience and amenities) vs. just a place where it is ""economical"" to live (Example:  In the 1970s, Powell used to be farmland and not a sought after location and now it's among one of the most ""desireable"" -- the same is true of Jerome Township (Dublin City Schools) and how that has developed/grown"
118211514939,448603621,2023-01-02 22:58:59,2023-01-02 23:06:34,174.96.175.91,39.9622601,-83.0007065,I live in Etna Township,,,,,3 (SW),0 - 4 Years,,,,,,,,13 - 18 Years Old,,,45 - 65 Years Old,,,,,,,Pataskala,,,,,,,,,,,,School System,,,,,Own,No - we have other occupations.,,< 2 Acres,80,,,,,,Senior/Assisted Living,,No Opinion,,Strip Shopping Areas,,,,,,,,,,,Recreation/Resort Activity,,,,Tax Reductions,,,Business Centers,,,Yes,Somewhat,Somewhat,Somewhat,Very,Very,,,,,Recycling,,,,,,,,Improve Schools,Provide Social Services For All Ages,,,Improve/Provide Parks and Recreation Facilities,,Bond Issue for Facilities,,Somewhat important,No,,
118211509738,448603621,2023-01-02 22:41:13,2023-01-02 22:50:40,76.181.232.160,39.9622601,-83.0007065,I live in Etna Township,,,,,3 (SW),,,,20 - 39 Years,,,,,,19 - 25 Years Old,,45 - 65 Years Old,,,,,,Johnstown,,Columbus,,,,,,,,,Friendliness,,,Lack of Congestion,,,,Own,No - we have other occupations.,,6 - 10 Acres,80,,Farm House/Large Lot,,,,,,Pro Limited Growth,,,Rural Home Occupations,,Agri-Business,,,,,,,Office/Service,Recreation/Resort Activity,,,,Tax Reductions,,,,,,Yes,Very,Very,Somewhat,Very,Very,,Broadband Internet,,,Recycling,,Natural Gas,,,,Fire Station Facility,Improve Emergency Services,,,Improve Police Protection,,Improve/Provide Parks and Recreation Facilities,,Bond Issue for Facilities,,Somewhat important,Maybe (please specify),Currently don’t own a bike,Traffic issues bring seen already and large growth hasn’t even started yet
118211498517,448603621,2023-01-02 21:57:20,2023-01-02 22:16:37,75.188.90.145,39.9622601,-83.0007065,I live in Etna Township,,,,,3 (SW),,,10 - 19 Years,,,,,,,19 - 25 Years Old,,45 - 65 Years Old,,,,,,,,Columbus,,,,,,,,,,,,,Rural Atmosphere,,Close to Catholic school system,Own,No - we have other occupations.,,< 2 Acres,74,,Farm House/Large Lot,,,,,,Pro Limited Growth,,,,Neighborhood Commercial,Agri-Business,,,Local restaurants are needed,,,,,,Maintain Current Farming and Agricultural Base,,,,,Job Training,,,,Yes,Very,Very,Very,Very,Somewhat,,,,,,Adopt-A-Highway,,,,,,,,,,,Improve/Provide Parks and Recreation Facilities,,Bond Issue for Facilities,,Very important,Yes,,Traffic created by the many new warehouses needs to be managed. Existing infrastructure must be adequately maintained. Especially water and sewer.. Floodplain and other risky development should be avoided at all costs.
118211498288,448603621,2023-01-02 21:40:14,2023-01-02 22:14:50,173.89.218.226,39.9622601,-83.0007065,I live in Etna Township,,,,,3 (SW),0 - 4 Years,,,,,,,6 - 12 Years Old,,,26 - 44 Years Old,,,Etna Township,,,,,,,,,,,,Unemployed,,,,,School System,,,,Proximity to metro area with better house prices,Own,No - we have other occupations.,,< 2 Acres,100,,,Single Family,Townhome/Condo,,,,Pro Growth,Large Shopping Mall (Easton/Polaris),,,Neighborhood Commercial,,,,,,,,Office/Service,Recreation/Resort Activity,,,,Tax Reductions,Relaxed Zoning,,,,,Yes,Somewhat,Somewhat,Somewhat,Not,Very,,Broadband Internet,,,,,,,,,Fire Station Facility,Improve Emergency Services,Improve Schools,,,,Improve/Provide Parks and Recreation Facilities,,Bond Issue for Facilities,,Very important,Maybe (please specify),would depend on cost/benefit details- currently unaware of anything regarding this,
118211437214,448603621,2023-01-02 18:42:32,2023-01-02 18:57:21,75.186.31.215,39.9622601,-83.0007065,I live in Etna Township,,,,,2 (NW),0 - 4 Years,,,,,,,,,,26 - 44 Years Old,45 - 65 Years Old,,,,,,,,,,,,Elsewhere in Franklin County,Retired,,Quiet for Retirement,,,,,,,,Close to grand children ,Own,No - we have other occupations.,,< 2 Acres,100,,,Single Family,,,Senior/Assisted Living,Gated Communities,Pro Growth,Large Shopping Mall (Easton/Polaris),Strip Shopping Areas,,,,Manufacturing,,,,Light Manufacturing,Heavy Manufacturing,,Recreation/Resort Activity,,,,,,,Business Centers,Industrial Park,,Yes,Very,Very,Very,,Very,,,,,Recycling,,,,,,Fire Station Facility,Improve Emergency Services,Improve Schools,Provide Social Services For All Ages,Improve Police Protection,,Improve/Provide Parks and Recreation Facilities,,Bond Issue for Facilities,,Very important,No,,Township should negotiate a residential trash agreement to save money for all residents in the township and include recycling to encourage everyone to recycle. Township should negotiate a water contract for all residents to improve water quality and improve price. SWLWSD prices are too high and don’t allow for irrigation credit.
118211436051,448603621,2023-01-02 18:44:15,2023-01-02 18:52:42,98.28.16.194,39.9622601,-83.0007065,I live in Etna Township,,,,,1 (Reynoldsburg),,5 - 9 Years,,,,,,,,,,45 - 65 Years Old,,,,,,,,,,,,Elsewhere in Franklin County,,,,,Friendliness,Cleanliness,School System,Lack of Congestion,Rural Atmosphere,,,Own,No - we have other occupations.,,< 2 Acres,100,,Farm House/Large Lot,Single Family,,,,,Pro Limited Growth,,Strip Shopping Areas,Rural Home Occupations,,,,,,,Light Manufacturing,Heavy Manufacturing,,,Maintain Current Farming and Agricultural Base,,,Tax Reductions,Relaxed Zoning,Job Training,,,,,Very,Very,Very,Very,Very,,Broadband Internet,,,,,,,,,,Improve Emergency Services,Improve Schools,Provide Social Services For All Ages,Improve Police Protection,,Improve/Provide Parks and Recreation Facilities,,Bond Issue for Facilities,,Very important,Yes,,
118211428562,448603621,2023-01-02 18:11:18,2023-01-02 18:21:51,75.188.81.62,39.9622601,-83.0007065,I live in Etna Township,,,,,3 (SW),,5 - 9 Years,,,,,,,,,,45 - 65 Years Old,,Etna Township,,,,,,Columbus,,,,,,,Quiet for Retirement,,,,,,Rural Atmosphere,,Lower taxes than pickerington,Own,No - we have other occupations.,,< 2 Acres,100,,Farm House/Large Lot,Single Family,,,Senior/Assisted Living,Gated Communities,Pro Limited Growth,,,,,,,,,,,,Office/Service,Recreation/Resort Activity,Maintain Current Farming and Agricultural Base,,,,,Job Training,,,Don’t let citizens decide how a man disposes of his land. ,Yes,Very,Very,Very,Very,Very,,,,,Recycling,,,,,,Fire Station Facility,Improve Emergency Services,,Provide Social Services For All Ages,Improve Police Protection,,Improve/Provide Parks and Recreation Facilities,,Other (please specify),Tax the damn business that move here. ,Somewhat important,Yes,,Please fix the drainage on Tollgate Rd south of Palmer.   Please build a public pool / rec center in stead of paying our trash bill. 
118211418126,448603621,2023-01-02 17:31:32,2023-01-02 17:40:57,74.139.209.91,39.9622601,-83.0007065,I live in Etna Township,,,,,4 (NE),,5 - 9 Years,,,,,,,,,,45 - 65 Years Old,,Etna Township,,,,,,Columbus,,,,,,,,,,,,,Rural Atmosphere,,,Own,No - we have other occupations.,,< 2 Acres,100,,Farm House/Large Lot,Single Family,,,,,Pro Limited Growth,,,,Neighborhood Commercial,Agri-Business,,,,,,,Office/Service,,Maintain Current Farming and Agricultural Base,,,,,Job Training,,,,Yes,Very,Very,Very,Very,Very,,,,,Recycling,Adopt-A-Highway,,,,,Fire Station Facility,Improve Emergency Services,,Provide Social Services For All Ages,Improve Police Protection,,Improve/Provide Parks and Recreation Facilities,,Income (in association with Joint Economic Development District),,Somewhat important,Yes,,Please...the drama with trustees has got to stop! We need to stop the warehouses. The businesses will leave soon and we are stuck with the mess
118211404867,448603621,2023-01-02 16:41:41,2023-01-02 16:46:23,75.188.231.170,39.9622601,-83.0007065,I live in Etna Township,,,,,1 (Reynoldsburg),,5 - 9 Years,,,,,,6 - 12 Years Old,13 - 18 Years Old,,26 - 44 Years Old,45 - 65 Years Old,,,Reynoldsburg,,,,,,New Albany,,,,,,,Access to Employment,,,School System,,,,,Own,No - we have other occupations.,0 - 5 Acres,< 2 Acres,90,,Farm House/Large Lot,,,,,Gated Communities,Pro Limited Growth,,Strip Shopping Areas,,,,,,,,,,Office/Service,Recreation/Resort Activity,,,,,,,Business Centers,,,Yes,Very,Somewhat,Very,Very,Very,,Broadband Internet,,,Recycling,Adopt-A-Highway,,,,Recycling,Fire Station Facility,Improve Emergency Services,Improve Schools,Provide Social Services For All Ages,Improve Police Protection,Central Water and Sewer Facilities,Improve/Provide Parks and Recreation Facilities,,Property Tax Levy,,Very important,Yes,,N/A
118211398380,448603621,2023-01-02 16:10:36,2023-01-02 16:21:08,76.6.248.9,40.7127281,-74.0060152,I live in Etna Township,,,,,3 (SW),,,,,Over 40 Years,,,,13 - 18 Years Old,,,,66+ Years Old,,,,,,,,,,,,Retired,,,,,,,,Rural Atmosphere,,,Own,No - we have other occupations.,,6 - 10 Acres,97,,,,,,Senior/Assisted Living,,Strongly Anti Growth,,,,,,,,None,None of the above,,,,,,,None of the above,,,,,,,Yes,Very,Very,Very,Very,Very,,Broadband Internet,,,Recycling,,,,,,,,,,Improve Police Protection,,,,Bond Issue for Facilities,,Not important,No,,Better people to run the township!
118211388944,448603621,2023-01-02 15:40:46,2023-01-02 15:46:34,173.89.220.158,39.9622601,-83.0007065,I live in Etna Township,,,,,3 (SW),,,,20 - 39 Years,,,,,,,26 - 44 Years Old,45 - 65 Years Old,66+ Years Old,,,,,,,Columbus,New Albany,,,,,,,Access to Employment,,,,,,,,Own,No - we have other occupations.,,< 2 Acres,76,,,Single Family,Townhome/Condo,,Senior/Assisted Living,,Pro Growth,Large Shopping Mall (Easton/Polaris),,,Neighborhood Commercial,,,,,,Light Manufacturing,,,,,,,,Relaxed Zoning,,,,,Yes,Very,Very,Somewhat,Somewhat,Very,,Broadband Internet,Central Water,Central Sewer,,,,,,,,,,,Improve Police Protection,,,,Property Tax Levy,,Somewhat important,Yes,,
118211370372,448603621,2023-01-02 14:13:11,2023-01-02 14:44:32,174.96.164.105,39.9622601,-83.0007065,I live in Etna Township,,,,,3 (SW),,,,,Over 40 Years,,,,,,,,66+ Years Old,,,,,,,,,,,,Retired,,,Access to Employment,,,,,Rural Atmosphere,,,Own,No - we have other occupations.,,< 2 Acres,100,,Farm House/Large Lot,Single Family,Townhome/Condo,,,,Pro Limited Growth,,,,,,,,These are terrible choices.  Our area (Mink Street) is already overrun with warehouses as far as the eye can see.,,,,,,Maintain Current Farming and Agricultural Base,,,,,Job Training,,,,Yes,Very,Very,Very,Very,Very,,Broadband Internet,,,Recycling,,,,,,,,,,,,,"Large corporations (warehouses and industrial parks) need to be taxed to support the above community needs, NOT individual taxpayers, homeowners and farmers.",None of the above,,Very important,Maybe (please specify),"A bike path system would be. nice, but not as essential as other community needs","The township trustees have sold out Etna Township at the expense of homeowners and farmers, and have neglected to adequately tax those large corporations that are using and draining township resources."
118211365890,448603621,2023-01-02 14:15:37,2023-01-02 14:26:57,75.188.216.213,39.9622601,-83.0007065,I live in Etna Township,,,,,3 (SW),,5 - 9 Years,,,,,,,,,,,66+ Years Old,,,,,,Pataskala,,,,,,,,Quiet for Retirement,,,,,,,My Family has Lived Here for Generations,,Own,No - we have other occupations.,,< 2 Acres,100,,Farm House/Large Lot,Single Family,,,Senior/Assisted Living,,Pro Limited Growth,,,,Neighborhood Commercial,Agri-Business,Manufacturing,Logistics & Warehousing,,,Light Manufacturing,,,,Maintain Current Farming and Agricultural Base,,,,Relaxed Zoning,,,Industrial Park,,Yes,Very,Very,Very,Very,Very,,,,,,Adopt-A-Highway,,,,,,Improve Emergency Services,Improve Schools,,,,,,Bond Issue for Facilities,,Very important,Maybe (please specify),Where ,
118211336584,448603621,2023-01-02 12:43:12,2023-01-02 12:55:02,65.60.225.55,39.9547861,-82.8121191,I live in Etna Township,,,,,1 (Reynoldsburg),,,,20 - 39 Years,,,,,,,,,66+ Years Old,,,,,,,,,,,,Retired,,,,,,,,,,Originally rural but that has disappeared over the years.,Own,No - we have other occupations.,,3 - 5 Acres,80,,,,Townhome/Condo,,Senior/Assisted Living,,Pro Limited Growth,,,,Neighborhood Commercial,,,,,,Light Manufacturing,,Office/Service,,,,,,,,,,,Yes,Very,Very,Very,Somewhat,Very,,Broadband Internet,,,,Adopt-A-Highway,,,,Recycling,Fire Station Facility,Improve Emergency Services,,,,,Improve/Provide Parks and Recreation Facilities,,,,Very important,Yes,,
118211324294,448603621,2023-01-02 12:09:50,2023-01-02 12:17:37,75.118.144.143,39.9667308,-82.8854559,I live in Etna Township,,,,,1 (Reynoldsburg),,,,20 - 39 Years,,,,6 - 12 Years Old,13 - 18 Years Old,,,45 - 65 Years Old,,,,Newark,,,,Columbus,,,,,,,,,,,,,Rural Atmosphere,,,Own,No - we have other occupations.,0 - 5 Acres,< 2 Acres,93,None of the above,,,,,,,Anti Growth,,,,Neighborhood Commercial,,,,,,,,,,,Restaurants ,,,,,,,Restaurants ,Yes,Not,Not,Somewhat,Somewhat,Somewhat,,Broadband Internet,,,,,,,None of the above,,,,,,,,,,None of the above,,Somewhat important,Yes,,NA
118211264644,448603621,2023-01-02 08:47:13,2023-01-02 09:16:07,75.188.83.185,39.9622601,-83.0007065,I live in Etna Township,,Own a business in the Township,,,3 (SW),,,,,Over 40 Years,,,,,19 - 25 Years Old,,45 - 65 Years Old,66+ Years Old,Etna Township,Reynoldsburg,,,,,,,,,,,,,,,,School System,Lack of Congestion,,My Family has Lived Here for Generations,,Own,No - we have other occupations.,100 - 300 Acres,< 2 Acres,99,,Farm House/Large Lot,,,,Senior/Assisted Living,,Pro Growth,,,,,,Manufacturing,Logistics & Warehousing,,,Light Manufacturing,,Office/Service,,,,,Tax Reductions,,Job Training,,,,Yes,Very,Not,Not,Not,Somewhat,,,,,,,Natural Gas,,None of the above,,,,,,,,,,None of the above,,Very important,Yes,,"Etna twp is in a strategic location to serve the needs of businesses; commercial, manufacturing, logistics/warehousing. We should take advantage of the employment and sales tax revenue to support our residents and schools "
